,name,total_time,f2l_time,ll_time,cross+1_time,ols_time,pll_time,total_time_percent,f2l_time_percent,ll_time_percent,cross+1_percent,ols_percent,pll_percent,total_stm,f2l_stm,ll_stm,cross+1_stm,ols_stm,pll_stm,total_stps,f2l_stps,ll_stps,cross+1_stps,ols_stps,pll_stps,total_etm,f2l_etm,ll_etm,cross+1_etm,ols_etm,pll_etm,total_etps,f2l_etps,ll_etps,cross+1_etps,ols_etps,pll_etps,cross_type,zbll,num_steps
102,Tymon Kolasiński,4.68,2.47,2.21,1.33,1.87,1.05,100.0,52.8,47.2,28.4,40.0,22.4,55.0,25.0,30.0,11.0,25.0,14.0,11.75,10.12,13.57,8.27,13.37,13.33,55.0,25.0,30.0,11.0,25.0,14.0,11.75,10.12,13.57,8.27,13.37,13.33,xxcross,False,5.0
103,Tymon Kolasiński,6.04,3.6,2.44,1.5,2.0,1.21,100.0,59.6,40.4,24.8,33.1,20.0,71.0,40.0,31.0,10.0,27.0,16.0,11.75,11.11,12.7,6.67,13.5,13.22,71.0,40.0,31.0,10.0,27.0,16.0,11.75,11.11,12.7,6.67,13.5,13.22,xcross,False,6.0
104,Tymon Kolasiński,5.64,3.23,2.41,1.4,1.43,1.77,100.0,57.3,42.7,24.8,25.4,31.4,59.0,33.0,26.0,10.0,15.0,19.0,10.46,10.22,10.79,7.14,10.49,10.73,61.0,35.0,26.0,10.0,16.0,19.0,10.82,10.84,10.79,7.14,11.19,10.73,xcross,False,6.0
105,Tymon Kolasiński,4.75,2.63,2.12,1.13,1.17,1.32,100.0,55.4,44.6,23.8,24.6,27.8,53.0,25.0,28.0,9.0,14.0,18.0,11.16,9.51,13.21,7.96,11.97,13.64,53.0,25.0,28.0,9.0,14.0,18.0,11.16,9.51,13.21,7.96,11.97,13.64,xcross,False,6.0
106,Tymon Kolasiński,5.29,3.3,1.99,1.3,1.27,1.36,100.0,62.4,37.6,24.6,24.0,25.7,57.0,32.0,25.0,10.0,19.0,15.0,10.78,9.7,12.56,7.69,14.96,11.03,58.0,33.0,25.0,10.0,19.0,15.0,10.96,10.0,12.56,7.69,14.96,11.03,cross,True,7.0
107,Tymon Kolasiński,5.33,3.63,1.7,2.27,1.27,1.13,100.0,68.1,31.9,42.6,23.8,21.2,51.0,32.0,19.0,16.0,16.0,11.0,9.57,8.82,11.18,7.05,12.6,9.73,54.0,33.0,21.0,16.0,17.0,13.0,10.13,9.09,12.35,7.05,13.39,11.5,xxcross,False,5.0
108,Tymon Kolasiński,4.69,2.93,1.76,1.1,1.53,1.02,100.0,62.5,37.5,23.5,32.6,21.7,58.0,33.0,25.0,9.0,24.0,13.0,12.37,11.26,14.2,8.18,15.69,12.75,58.0,33.0,25.0,9.0,24.0,13.0,12.37,11.26,14.2,8.18,15.69,12.75,xcross,False,6.0
109,Tymon Kolasiński,3.27,2.07,1.2,0.63,1.77,0.0,100.0,63.3,36.7,19.3,54.1,0.0,35.0,23.0,12.0,5.0,20.0,0.0,10.7,11.11,10.0,7.94,11.3,0.0,35.0,23.0,12.0,5.0,20.0,0.0,10.7,11.11,10.0,7.94,11.3,0.0,xcross,False,5.0
110,Tymon Kolasiński,4.95,3.37,1.58,0.77,1.58,-0.0,100.0,68.1,31.9,15.6,31.9,0.0,43.0,28.0,15.0,6.0,15.0,0.0,8.69,8.31,9.49,7.79,9.49,0.0,44.0,29.0,15.0,6.0,15.0,0.0,8.89,8.61,9.49,7.79,9.49,0.0,xcross,True,4.0
111,Tymon Kolasiński,4.51,2.67,1.84,0.83,1.53,0.91,100.0,59.2,40.8,18.4,33.9,20.2,51.0,26.0,25.0,7.0,18.0,15.0,11.31,9.74,13.59,8.43,11.76,16.48,52.0,27.0,25.0,7.0,18.0,15.0,11.53,10.11,13.59,8.43,11.76,16.48,xcross,False,6.0
